time,vsched,vroll
30.7,29.99659976,31.00968477
30.8,29.66659968,30.70363526
30.9,29.33659999,30.3998894
31,29.00659992,30.09768338
31.1,28.61779981,29.78843949
31.2,28.22779971,29.46729908
31.3,27.83779962,29.12947668
31.4,27.44779999,28.76678992
31.5,27.0577999,28.40856406
31.6,26.66779981,28.22822975
31.7,26.27779971,27.85914693
31.8,25.88779962,27.49177965
31.9,25.49779999,27.12513227
32,25.1077999,26.74872607
32.1,24.81579986,26.37525068
32.2,24.52579979,26.00913772
32.3,24.23579972,25.63777809
32.4,23.94579999,25.21945706
32.5,23.65579993,24.95690858
32.6,23.36579986,24.5454912
32.7,23.07579979,24.20106043
32.8,22.78579972,23.69741627
32.9,22.49579999,23.38658618
33,22.20579993,23.08702302
33.1,22.07259994,22.84909486
33.2,21.9425999,22.63679244
33.3,21.81259987,22.44360988
33.4,21.6826,22.26214815
33.5,21.55259997,22.08323898
33.6,21.42259994,21.90519369
33.7,21.2925999,21.72893959
33.8,21.16259987,21.55699263
33.9,21.0326,21.38404028
34,20.90259997,21.20665387
34.1,20.85099998,21.11834379
34.2,20.80099996,20.95206569
34.3,20.75099995,20.80407286
34.4,20.701,20.66173912
34.5,20.65099999,20.53062594
34.6,20.60099998,20.41202425
34.7,20.55099996,20.3042246
34.8,20.50099995,20.19159802
34.9,20.451,20.07857611
35,20.40099999,19.97096803
35.1,20.31179996,19.86304393
35.2,20.22179993,19.75172658
35.3,20.13179991,19.63993825
35.4,20.0418,19.47594672
35.5,19.95179998,19.36524432
35.6,19.86179996,19.25219435
35.7,19.77179993,19.13985938
35.8,19.68179991,19.03119953
35.9,19.5918,18.92196254
36,19.50179998,18.80926885
36.1,19.39219995,18.69085751
36.2,19.28219992,18.56791572
36.3,19.17219989,18.43608875
36.4,19.0622,18.2952924
36.5,18.95219997,18.17029709
36.6,18.84219995,18.05928477
36.7,18.73219992,17.9989956
36.8,18.62219989,17.87820373
36.9,18.5122,17.77477469
37,18.40219997,17.67190082
37.1,18.34119997,17.57313522
37.2,18.28119996,17.47569837
37.3,18.22119994,17.38352406
37.4,18.1612,17.29575329
37.5,18.10119998,17.21591965
37.6,18.04119997,17.15057781
37.7,17.98119996,17.09500332
37.8,17.92119994,17.05447825
37.9,17.8612,17.00158079
38,17.80119998,16.96769459
38.1,17.8,16.9449472
38.2,17.8,16.92767832
38.3,17.8,16.91056196
38.4,17.8,16.90308484
38.5,17.8,16.89391536
38.6,17.8,16.89223887
38.7,17.8,16.89847631
38.8,17.8,16.91189437
38.9,17.8,16.93831321
39,17.8,16.97040334
39.1,17.76079998,17.01009626
39.2,17.72079997,17.06633695
39.3,17.68079996,17.09945079
39.4,17.6408,17.17687707
39.5,17.60079999,17.25678636
39.6,17.56079998,17.34334917
39.7,17.52079997,17.38601806
39.8,17.48079996,17.3598945
39.9,17.4408,17.33878335
40,17.40079999,17.31059284
40.1,17.23339992,17.26957971
40.2,17.06339988,17.18942394
40.3,16.89339983,17.13081737
40.4,16.7234,16.90745056
40.5,16.55339996,16.57211606
40.6,16.38339992,16.34198837
40.7,16.21339988,16.10040463
40.8,16.04339983,15.87962212
40.9,15.8734,15.69332368
41,15.70339996,15.5119315
41.1,15.44519987,15.32749868
41.2,15.18519981,15.14209218
41.3,14.92519975,14.92787045
41.4,14.6652,14.70799452
41.5,14.40519993,14.48755732
41.6,14.14519987,14.24906179
41.7,13.88519981,14.00395911
41.8,13.62519975,13.75859776
41.9,13.3652,13.63704329
42,13.10519993,13.39453711
42.1,13.00199995,13.15856486
42.2,12.90199993,12.94135253
42.3,12.8019999,12.74897528
42.4,12.702,12.58175521
42.5,12.60199997,12.4339088
42.6,12.50199995,12.30026258
42.7,12.40199993,12.1845673
42.8,12.3019999,12.06908189
42.9,12.202,11.94852551
43,12.10199997,11.84452422
43.1,12.0902,11.77182727
43.2,12.08019999,11.73347286
43.3,12.07019999,11.69811515
43.4,12.0602,11.66222789
43.5,12.0502,11.62995962
43.6,12.0402,11.59804642
43.7,12.03019999,11.56097561
43.8,12.02019999,11.52956145
43.9,12.0102,11.52689663
44,12.0002,11.56528399
44.1,12,11.63198753
44.2,12,11.70067626
44.3,12,11.77350132
44.4,12,11.86150026
44.5,12,11.91055911
44.6,12,12.00251501
44.7,12,12.07938612
44.8,12,12.1425573
44.9,12,12.21031993
45,12,12.28748509
45.1,12,12.36546776
45.2,12,12.42825948
45.3,12,12.47388358
45.4,12,12.50652156
45.5,12,12.53648007
45.6,12,12.56058793
45.7,12,12.59411662
45.8,12,12.60996768
45.9,12,12.62332596
46,12,12.63302621
46.1,12.02940001,12.64498374
46.2,12.05940002,12.65367248
46.3,12.08940003,12.65564914
46.4,12.1194,12.66179019
46.5,12.14940001,12.66859866
46.6,12.17940001,12.67501059
46.7,12.20940002,12.69077135
46.8,12.23940003,12.69513219
46.9,12.2694,12.7062222
47,12.29940001,12.72137777
47.1,12.32940001,12.72894274
47.2,12.35940002,12.74581629
47.3,12.38940003,12.76507769
47.4,12.4194,12.78326535
47.5,12.44940001,12.80327592
47.6,12.47940001,12.81992252
47.7,12.50940002,12.83561008
47.8,12.53940003,12.85687009
47.9,12.5694,12.87457579
48,12.59940001,12.8933357
48.1,12.8058001,12.9159147
48.2,13.01580015,12.93351669
48.3,13.2258002,12.96275164
48.4,13.4358,12.98551245
48.5,13.64580005,13.01528306
48.6,13.8558001,13.05482102
48.7,14.06580015,13.10212041
48.8,14.2758002,13.16305626
48.9,14.4858,13.2428533
49,14.69580005,13.35049066
49.1,14.75880003,13.48615991
49.2,14.81880004,13.65137769
49.3,14.87880006,13.86392048
49.4,14.9388,14.13305781
49.5,14.99880002,14.47607076
49.6,15.05880003,14.65790952
49.7,15.11880004,15.02472773
49.8,15.17880006,15.39960873
49.9,15.2388,15.77551345
50,15.29880002,16.08336026
50.1,15.35880003,16.24702356
50.2,15.41880004,16.35285143
50.3,15.47880006,16.42911367
50.4,15.5388,16.46889323
50.5,15.59880002,16.45008939
50.6,15.65880003,16.41658266
50.7,15.71880004,16.36181348
50.8,15.77880006,16.29908399
50.9,15.8388,16.24563258
51,15.89880002,16.22238005
51.1,15.92940001,16.25541214
51.2,15.95940002,16.28739489
51.3,15.98940003,16.31767309
51.4,16.0194,16.35713174
51.5,16.04940001,16.41092236
51.6,16.07940001,16.46376613
51.7,16.10940002,16.51785325
51.8,16.13940003,16.57673924
51.9,16.1694,16.62680472
52,16.19940001,16.66797037
52.1,16.28820004,16.70122452
52.2,16.37820007,16.71514163
52.3,16.46820009,16.73551581
52.4,16.5582,16.75289817
52.5,16.64820002,16.75888792
52.6,16.73820004,16.76723745
52.7,16.82820007,16.78607912
52.8,16.91820009,16.82249104
52.9,17.0082,16.86794066
53,17.09820002,16.92215101
53.1,17.16860003,16.98587981
53.2,17.23860005,17.06183457
53.3,17.30860007,17.15140019
53.4,17.3786,17.29560687
53.5,17.44860002,17.40056721
53.6,17.51860003,17.52361271
53.7,17.58860005,17.64368957
53.8,17.65860007,17.76793693
53.9,17.7286,17.90125981
54,17.79860002,18.03929006
54.1,17.82940001,18.16633402
54.2,17.85940002,18.28635719
54.3,17.88940003,18.39312702
54.4,17.9194,18.41775711
54.5,17.94940001,18.39785757
54.6,17.97940001,18.37307374
54.7,18.00940002,18.34065906
54.8,18.03940003,18.32330354
54.9,18.0694,18.28166691
55,18.09940001,18.23481777
55.1,18.12940001,18.18934008
55.2,18.15940002,18.15174704
55.3,18.18940003,18.12181904
55.4,18.2194,18.15272073
55.5,18.24940001,18.19470389
55.6,18.27940001,18.23499835
55.7,18.30940002,18.28351789
55.8,18.33940003,18.34654631
55.9,18.3694,18.42259869
56,18.39940001,18.50929206
56.1,18.58620009,18.54723406
56.2,18.77620014,18.59412957
56.3,18.96620018,18.65909072
56.4,19.1562,18.73323112
56.5,19.34620005,18.81612125
56.6,19.53620009,18.91831549
56.7,19.72620014,19.0388914
56.8,19.91620018,19.18289676
56.9,20.1062,19.35417384
57,20.29620005,19.5694205
57.1,20.58420014,19.81532848
57.2,20.87420021,20.07433362
57.3,21.16420028,20.33410991
57.4,21.45420001,20.46606988
57.5,21.74420007,20.72137795
57.6,22.03420014,20.96298365
57.7,22.32420021,21.21924589
57.8,22.61420028,21.50702965
57.9,22.90420001,21.80289329
58,23.19420007,22.1001406
58.1,23.52340016,22.4151363
58.2,23.85340024,22.74575489
58.3,24.18340032,23.08461931
58.4,24.51340001,23.44529037
58.5,24.84340008,23.84168274
58.6,25.17340016,24.46178111
58.7,25.50340024,24.89794084
58.8,25.83340032,25.36273765
58.9,26.16340001,25.79795785
59,26.49340008,26.16188185
59.1,26.82340016,26.45541743
59.2,27.15340024,26.68537064
59.3,27.48340032,26.94538119
59.4,27.81340001,27.1966115
59.5,28.14340008,27.44119683
59.6,28.47340016,27.68351755
59.7,28.80340024,27.91531075
59.8,29.13340032,28.19555395
59.9,29.46340001,28.51328525
60,29.79340008,28.68320918
60.1,30.07440014,29.06232901
60.2,30.35440021,29.47502267
60.3,30.63440027,29.88731857
60.4,30.91440001,30.29527803
60.5,31.19440007,30.71137349
60.6,31.47440014,31.12197093
